title,description,mediaType,eps,duration,ongoing,sznOfRelease,years_running,studio_primary,studios_colab,contentWarn,watched,watching,wantWatch,dropped,rating,votes,tag_Based_on_a_Manga,tag_Comedy,tag_Action,tag_Fantasy,tag_Sci_Fi,tag_Shounen,tag_Original_Work,tag_Non_Human_Protagonists,tag_Drama,tag_Adventure,tag_Family_Friendly,tag_Short_Episodes,tag_School_Life,tag_Romance,tag_Shorts,tag_Slice_of_Life,tag_Seinen,tag_Supernatural,tag_Magic,tag_Animal_Protagonists,tag_Ecchi,tag_Mecha,tag_Based_on_a_Light_Novel,tag_CG_Animation,tag_Superpowers,tag_Others,tag_missing
Sengoku Paradise: Kiwami,,TV,26,3,FALSE,Fall,1,Others,1,0,114,46,345,70,2.084,141,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master of Torque Epilogue,,Web,1,10,FALSE,Fall,0,Others,0,0,33,2,32,2,2.084,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Princess Iron Fan,"Adapted from the popular Chinese folk tale ""Journey to the West,"" and produced by the Wan brothers in the midst of World War II, Princess Iron Fan is the first feature length animated film produced in China. We follow the Monkey King and his friends on their journey to the west. As they reach Fire Mountain they are unable to pass because of the fire but learn that a special iron fan can quench the flames. However, the fan belongs to Princess Iron Fan and she will not willingly lend it to them.",Movie,1,73,FALSE,is_missing,0,is_missing,0,0,17,0,17,1,2.084,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pepsi Nex x 009 Re:Cyborg,,Other,3,1,FALSE,is_missing,2,is_missing,0,0,43,4,25,1,2.083,26,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Meisou-Ou Border,"Kubota and Hachisuka meet up by accident in a Middle Eastern desert and return to Japan together to hustle their way through life. They start by getting involved in shady TV dealings, where they get jobs making fake documentaries.",OVA,1,44,FALSE,is_missing,0,Others,0,0,42,0,56,4,2.083,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Evil or Live,"In this modern society, a new kind of ""illness"" is striking young boys and girls; loneliness, disbelief, and outrage push this generation to get more or more attached to the Internet and technologies. The experts called these symptoms ""Net Addiction."" To prevent that, a certain Rehabilitation Facility has been set up to ""Lead the young man back to the right path"". Enrolled to treat his addiction, Hibiki had no idea that this Rehabilitation Facility is nothing more than a prison. In this place where escaping is not permitted, how will Hibiki challenge despair in this hell?",TV,12,,FALSE,Fall,1,Others,0,1,1526,342,1596,600,2.085,1440,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irodorimidori: Minna e wo Check!,,Music Video,1,3,FALSE,is_missing,0,is_missing,0,0,33,0,9,0,2.039,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Katsudou Shashin,"The animation depicts a young boy wearing a sailor suit writing ""katsudou shashin"" (movie) on a blackboard, turning around to face the audience and saluting.",Movie,1,1,FALSE,is_missing,0,is_missing,0,0,399,1,33,3,2.083,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TaKU.K: Blind Egoist,,Music Video,1,4,FALSE,is_missing,0,is_missing,0,0,24,0,14,0,2.083,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Green Dakara x Bakemono no Ko,A collaboration between Studio Chizu's film The Boy and the Beast and Suntory's drink brand Green Dakara.,Other,2,1,FALSE,is_missing,0,Others,0,0,142,5,91,3,2.075,82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirai Koushi Harima SACLA NEX RAY,,Other,1,2,FALSE,is_missing,0,Others,0,0,25,0,8,0,2.082,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
